id,name,effect,god,rarity,mana,type,set,collectable,live,art_id,lib_id,tribe.String,tribe.Valid,attack.Int64,attack.Valid,health.Int64,health.Valid
1210,Jinxblade Duelist,"At the end of each turn, give +1 health to this creature if your opponent controls a creature.",deception,common,3,creature,core,True,true,C799,L2-211,guild,True,4,True,2,True
1036,Leyhoard Hatchling,"Each turn, set this creature's mana cost to 10 minus the number of cards in your hand. Roar: Deal 4 damage.",magic,rare,10,creature,core,True,true,C745,L2-037,dragon,True,3,True,3,True
1302,Cursed Obelisks,"Backline. Can't attack. At the end of your turn summon a 1/1 Zombie with leech. If you are frenzied, summon an additional Zombie.",death,rare,3,creature,order,True,true,C8-003,L8-003,structure,True,1,True,4,True
1129,End Times,Destroy each creature. Then summon a 6/6 Demonic Skull.,death,epic,8,spell,core,True,true,C612,L2-130,,False,0,False,0,False
1132,The Old Ritual,"Destroy a creature, if you do, summon a 6/6 Netherspawn for its controller.",death,common,4,spell,core,True,true,C609,L2-133,,False,0,False,0,False
1154,Runed Asp,Afterlife: Both players unlock a mana lock.,death,rare,2,creature,core,True,true,C576,L2-155,anubian,True,2,True,3,True
1159,Phylactery,Ability: Summon a creature from your void. Remove 1 durability from this relic.,death,common,6,weapon,core,True,true,C569,L2-160,,False,0,True,2,True
1349,Monolith of Storms,"Order 5. After you play a spell, give +2 strength to this creature. Ability: Deal damage to an enemy character equal to this creature's strength, then set this creature's strength to 0.",magic,legendary,5,creature,order,True,true,C8-052,L8-052,structure,True,4,True,5,True
908,Dragon of the First Pillar,"At the start of your turn, give +1 strength to each of your creatures. Roar: Give this creature backline and +2 strength, or give it frontline and +4 health.",light,rare,7,creature,trial,True,true,C854,L6-109,dragon,True,5,True,5,True
87044,Crook of Shepherding,Afterlife: Pull the highest mana cost creature from your void into your hand (ties decided randomly).,light,common,2,weapon,welcome,True,true,C7-044-1,L7-044,,False,2,True,1,True
2729,"Irina, Manashard Patron","At the start of the game, put this in your mulligan.  Roar: If your deck contains no other neutral cards, replace your God Power with your domain’s Ascended God Power.",neutral,legendary,1,creature,dread,True,true,C13-129,L13-129,,False,1,True,2,True
36,Natural Selection,Target friendly creature gains an extra attack this turn and attacks a random enemy creature. Add a random Nature card to your hand.,nature,rare,2,spell,genesis,True,true,C434,L1-036,,False,0,False,0,False
1009,Netherwarp,Transform a creature into a 3/3 Netherbeast.,death,common,4,spell,core,True,true,C946,L2-010,,False,0,False,0,False
1202,Raving Necromancer,"After an Anubian dies, steal 1 health from your opponent's god.",death,common,1,creature,core,True,true,C507,L2-203,anubian,True,2,True,2,True
1212,Thanakris Spell-Locusts,"Afterlife: Obliterate a random spell in your void. If you do, pull this creature to the board.",death,legendary,3,creature,core,True,true,C496,L2-213,nether,True,1,True,1,True
